review,label
"This phone is amazing and the battery lasts all day",positive
"Excellent quality and fast delivery",positive
"Very disappointed with the product",negative
"Waste of money, stopped working after two days",negative
"Highly recommended, great value for money",positive
"Terrible customer service",negative
"I love this laptop, performance is outstanding",positive
"The screen quality is very poor",negative
"Packaging was excellent and product works perfectly",positive
"Received a damaged item",negative
"Fantastic camera and smooth performance",positive
"Battery drains very quickly",negative
"Good product for the price",positive
"Not worth buying",negative
"Super fast charging and nice design",positive
"Product quality is below expectations",negative
"Easy to use and very reliable",positive
"The sound quality is terrible",negative
"Excellent display and premium build quality",positive
"Returned the product because it was defective",negative
"Very happy with this purchase",positive
"Awful experience, never buying again",negative
"Five stars, exceeded my expectations",positive
"The item arrived broken",negative
"Best purchase I have made this year",positive
"Poor packaging and delayed delivery",negative
"Works exactly as described",positive
"The charger stopped working in a week",negative
"Highly satisfied with the performance",positive
"Cheap material and poor finish",negative